ds,yhat,yhat_lower,yhat_upper
2022-07-12,144.8699951,138.3796262,151.3603641
2022-07-13,145.8600006,139.3711645,152.3488368
2022-07-14,145.4900055,139.0028304,151.9771806
2022-07-15,148.4700012,141.9832376,154.9567648
2022-07-18,150.1699982,143.6843782,156.6556181
2022-07-19,147.0700073,140.584653,153.5553616
2022-07-20,151,144.5138069,157.4861931
2022-07-21,153.0399933,146.5549297,159.5250569
2022-07-22,155.3500061,148.8658016,161.8342106
2022-07-25,154.0899963,147.6072235,160.5727691
2022-07-26,152.9499969,146.4686989,159.431295
2022-07-27,151.6000061,145.1201017,158.0799105
2022-07-28,156.7899933,150.3076426,163.272344
2022-07-29,157.3500061,150.8692784,163.8307338
2022-08-01,162.5099945,156.0268712,168.9931178
2022-08-02,161.5099945,155.028388,167.991601
2022-08-03,160.0099945,153.529713,166.490276
2022-08-04,166.1300049,159.6456803,172.6143295
2022-08-05,165.8099976,159.3273249,172.2926702
2022-08-08,165.3500061,158.8689671,171.8310451
2022-08-09,164.8699951,158.3905856,171.3494046
2022-08-10,164.9199982,158.4422516,171.3977447
2022-08-11,169.2400055,162.7610819,175.7189291
2022-08-12,168.4900055,162.0126576,174.9673534
2022-08-15,172.1000061,165.6222992,178.577713
2022-08-16,173.1900024,166.7138128,179.6661921
2022-08-17,173.0299988,166.5554634,179.5045341
2022-08-18,174.5500031,168.0767739,181.0232322
2022-08-19,174.1499939,167.6783961,180.6215917
2022-08-22,171.5200043,165.0490116,177.990997
2022-08-23,167.5700073,161.0982156,174.041799
2022-08-24,167.2299957,160.7599249,173.7000665
2022-08-25,167.5299988,161.0615659,173.9984316
2022-08-26,170.0299988,163.5622695,176.4977281
2022-08-29,163.6199951,157.1476933,170.092297
2022-08-30,161.3800049,154.9085945,167.8514153
2022-08-31,158.9100037,152.4393192,165.3806881
2022-09-01,157.2200012,150.7505325,163.68947
2022-09-02,157.9600067,151.4921015,164.427912
2022-09-06,155.8099976,149.3430393,162.2769558
2022-09-07,154.5299988,148.064437,160.9955606
2022-09-08,155.9600067,149.4957791,162.4242343
2022-09-09,154.4600067,147.9970812,160.9229322
2022-09-12,157.3699951,150.9075427,163.8324475
2022-09-13,163.4299927,156.9635325,169.8964529
2022-09-14,153.8399963,147.3613287,160.318664
2022-09-15,155.3099976,148.8326537,161.7873414
2022-09-16,152.3699951,145.8930952,158.8468951
2022-09-19,150.6999969,144.2242166,157.1757773
2022-09-20,154.4799957,148.0036485,160.956343
2022-09-21,156.8999939,150.4244669,163.3755209
2022-09-22,153.7200012,147.2446307,160.1953717
2022-09-23,152.7400055,146.2660911,159.2139199
2022-09-26,150.4299927,143.9569137,156.9030716
2022-09-27,150.7700043,144.2985418,157.2414668
2022-09-28,151.7599945,145.290018,158.229971
2022-09-29,149.8399963,143.3710995,156.3088931
2022-09-30,142.4799957,136.0046238,148.9553676
2022-10-03,138.1999969,131.7235208,144.6764731
2022-10-04,142.4499969,135.9724541,148.9275398
2022-10-05,146.1000061,139.6220621,152.5779501
2022-10-06,146.3999939,139.9237087,152.8762791
2022-10-07,145.4299927,138.9551955,151.9047899
2022-10-10,140.0899963,133.6125756,146.567417
2022-10-11,140.4199982,133.9441882,146.8958082
2022-10-12,138.9799957,132.5055026,145.4544888
2022-10-13,138.3399963,131.8670667,144.812926
2022-10-14,142.9900055,136.5154816,149.4645294
2022-10-17,138.3800049,131.9039437,144.8560661
2022-10-18,142.4100037,135.9330565,148.8869509
2022-10-19,143.75,137.2745029,150.2254971
2022-10-20,143.8600006,137.3861223,150.3338789
2022-10-21,143.3899994,136.9177078,149.862291
2022-10-24,147.2700043,140.7970232,153.7429854
2022-10-25,149.4499969,142.9780026,155.9219913
2022-10-26,152.3399963,145.8684934,158.8114993
2022-10-27,149.3500061,142.8787342,155.821278
2022-10-28,144.8000031,138.3272264,151.2727797
2022-10-31,155.7400055,149.2511382,162.2288728
2022-11-01,153.3399963,146.8519082,159.8280845
2022-11-02,150.6499939,144.1624548,157.137533
2022-11-03,145.0299988,138.5394186,151.520579
2022-11-04,138.8800049,132.3854697,145.3745401
2022-11-07,138.3800049,131.8870491,144.8729606
2022-11-08,138.9199982,132.4286141,145.4113822
2022-11-09,139.5,133.0101798,145.9898202
