ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021. 7. 9 오전 12:00:00,134.804538,137.3973632,148.3689222,134.804538,134.804538,8.137945087,8.137945087,8.137945087,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,5.645553712,5.645553712,5.645553712,0,0,0,142.9424831
2021. 7. 12 오전 12:00:00,135.5355208,139.1929826,150.3638663,135.5355208,135.5355208,9.261322205,9.261322205,9.261322205,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,6.739776409,6.739776409,6.739776409,0,0,0,144.796843
2021. 7. 13 오전 12:00:00,135.7791818,139.3976188,150.8459156,135.7791818,135.7791818,9.549860713,9.549860713,9.549860713,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,7.045941809,7.045941809,7.045941809,0,0,0,145.3290425
2021. 7. 15 오전 12:00:00,136.2665037,141.1341569,151.7141559,136.2665037,136.2665037,9.914243747,9.914243747,9.914243747,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,7.55005201,7.55005201,7.55005201,0,0,0,146.1807474
2021. 7. 16 오전 12:00:00,136.5101646,141.0566407,151.8885405,136.5101646,136.5101646,10.23518282,10.23518282,10.23518282,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,7.742791446,7.742791446,7.742791446,0,0,0,146.7453474
2021. 7. 19 오전 12:00:00,137.2411474,142.3595724,153.6192203,137.2411474,137.2411474,10.58503607,10.58503607,10.58503607,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,8.063490272,8.063490272,8.063490272,0,0,0,147.8261835
2021. 7. 20 오전 12:00:00,137.4848084,142.6112403,153.6618422,137.4848084,137.4848084,10.5860569,10.5860569,10.5860569,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,8.082138,8.082138,8.082138,0,0,0,148.0708653
2021. 7. 22 오전 12:00:00,137.9721302,142.6581915,153.4290761,137.9721302,137.9721302,10.35272476,10.35272476,10.35272476,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,7.988533021,7.988533021,7.988533021,0,0,0,148.324855
2021. 7. 23 오전 12:00:00,138.2157912,142.4658614,153.8987926,138.2157912,138.2157912,10.37102827,10.37102827,10.37102827,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,7.878636893,7.878636893,7.878636893,0,0,0,148.5868195
2021. 7. 26 오전 12:00:00,138.946774,143.4806387,154.0238163,138.946774,138.946774,9.842259362,9.842259362,9.842259362,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,7.320713566,7.320713566,7.320713566,0,0,0,148.7890334
