ds,yhat,yhat_lower,yhat_upper,Close,model
2023-07-18,192.62630526033067,188.37173968418577,196.7993008088177,193.72999572753906,prophet
2023-07-19,192.54961032650587,188.19895118730682,197.05655623884525,195.10000610351562,prophet
2023-07-20,192.31260073131213,187.91982345899922,196.92340615152696,193.1300048828125,prophet
2023-07-21,192.42274064889057,187.9807505411964,196.71857638123657,191.94000244140625,prophet
2023-07-24,191.70410094980338,187.4293844357387,196.409286740791,192.75,prophet
2023-07-25,191.62393431181542,187.2642107192576,196.37161446062743,193.6199951171875,prophet
2023-07-26,191.2172036200507,186.83781891887665,195.66422461068763,194.5,prophet
2023-07-27,190.65875340187313,186.4550184542184,195.27713766558298,193.22000122070312,prophet
2023-07-28,190.4609376684506,185.93494769549156,194.91022021500828,195.8300018310547,prophet
2023-07-31,188.93189397824884,184.30502457289677,193.42901204018133,196.4499969482422,prophet
2023-08-01,188.63152658491043,184.02988352203755,192.9772917482652,195.61000061035156,prophet
2023-08-02,188.03365219702144,183.73361352985702,192.40096374892065,192.5800018310547,prophet
2023-08-03,187.3156430892151,182.73099136830348,191.71811519883775,191.1699981689453,prophet
2023-08-04,186.99246893159182,182.48742266835276,191.20523297218026,181.99000549316406,prophet
2023-08-07,185.2973080064309,180.62587711743498,189.54696245095647,178.85000610351562,prophet
2023-08-08,185.01303478613335,180.63001376943217,189.43879672441773,179.8000030517578,prophet
2023-08-09,184.46525808927817,180.17101333433044,188.46146824545949,178.19000244140625,prophet
2023-08-10,183.8302007399135,179.24793791466018,188.50236129081247,177.97000122070312,prophet
2023-08-11,183.62172956827118,179.12135669004996,188.11359530706582,177.7899932861328,prophet
2023-08-14,182.42940225890266,178.26262171355668,186.95536735123378,179.4600067138672,prophet
2023-08-15,182.35558382638675,177.9668994025148,186.68542462678667,177.4499969482422,prophet
2023-08-16,182.03270050041303,177.182127436338,186.3953992544688,176.57000732421875,prophet
2023-08-17,181.63309899664426,177.09009355906633,185.99726156104742,174.0,prophet
2023-08-18,181.6671692403473,176.99256439419085,186.14763178787308,174.49000549316406,prophet
2023-08-21,181.1956056382874,176.8117254171906,185.69438375246952,175.83999633789062,prophet
2023-08-22,181.34610585124693,177.01361527794467,185.88539072660922,177.22999572753906,prophet
2023-08-23,181.23201963506622,176.72451894609677,185.76556188707013,181.1199951171875,prophet
2023-08-24,181.02223629665855,176.5676786826887,185.59212727019965,176.3800048828125,prophet
2023-08-25,181.22459799430612,176.3034678903068,185.84234025135038,178.61000061035156,prophet
2023-08-28,181.09606717501597,176.42115533373322,185.22891881589877,180.19000244140625,prophet
2023-08-29,181.3011799340335,177.21815925408154,186.09985955249252,184.1199951171875,prophet
2023-08-30,181.20924602439538,176.68765879331968,185.51079068145424,187.64999389648438,prophet
2023-08-31,180.98919240089907,176.58188457033486,185.5476196132385,187.8699951171875,prophet
2023-09-01,181.15007670451567,176.34205743110257,185.62705261572333,189.4600067138672,prophet
2023-09-05,184.27332325115538,179.65891118733154,188.7017754284387,189.6999969482422,prophet
2023-09-06,180.50245868309614,176.0760508657227,185.05910106161738,182.91000366210938,prophet
2023-09-07,180.08967116940894,175.76933411515782,184.55283678034064,177.55999755859375,prophet
2023-09-08,180.04488351009533,175.6289381963851,184.4526346171187,178.17999267578125,prophet
2023-09-11,178.95637502774068,174.50652290189325,183.57190954901236,179.36000061035156,prophet
2023-09-12,178.79289021731898,174.55092978382982,183.6177088922521,176.3000030517578,prophet
2023-09-13,178.31933811923298,174.14993656755578,183.03126635454066,174.2100067138672,prophet
2023-09-14,177.71333133999252,173.02497188596433,182.0515784915947,175.74000549316406,prophet
2023-09-15,177.4938686483828,173.2732324080323,181.96670421113285,175.00999450683594,prophet
2023-09-18,176.02447871983503,171.77539123235343,180.31824112285383,177.97000122070312,prophet
2023-09-19,175.79266249581326,171.62066448430937,180.6721467075871,179.07000732421875,prophet
2023-09-20,175.28307806901103,171.07266824504455,179.52555467871423,175.49000549316406,prophet
2023-09-21,174.67490200853024,170.20651087938052,179.07309413362188,173.92999267578125,prophet
2023-09-22,174.4885980754069,170.04420807309566,179.0205469392285,174.7899932861328,prophet
2023-09-25,173.32152073636956,168.83797529901682,178.05327899059864,176.0800018310547,prophet
2023-09-26,173.25434446182382,168.87434198913098,178.07609711988385,171.9600067138672,prophet
2023-09-27,172.9368219338084,168.92648975103987,177.56104792933252,170.42999267578125,prophet
2023-09-28,172.5452974480521,168.30394081942623,176.7514070314797,170.69000244140625,prophet
2023-09-29,172.59750700329192,168.3512576061819,176.98568733124364,171.2100067138672,prophet
2023-10-02,172.23104482814003,167.66304884738253,176.56720074212578,173.75,prophet
2023-10-03,172.44526062666446,167.75693964534835,176.9550881826703,172.39999389648438,prophet
2023-10-04,172.4081857396177,168.04326425598938,176.76817699344178,173.66000366210938,prophet
2023-10-05,172.2920425185763,167.49336367184705,176.82852382269598,174.91000366210938,prophet
2023-10-06,172.6112159324115,168.379625103005,177.09007192516884,177.49000549316406,prophet
2023-10-10,172.16477570551493,167.62323451948032,176.7007431086586,178.38999938964844,prophet
2023-10-11,173.4978210490206,169.08098497274077,177.98499198332553,179.8000030517578,prophet
2023-10-12,173.52797248730866,168.90474879033118,178.2806561247039,180.7100067138672,prophet
2023-10-13,173.96832171371236,169.55199911675848,178.2842475229697,178.85000610351562,prophet
2023-10-16,174.5214677402096,170.16551001717238,178.89491727741463,178.72000122070312,prophet
2023-10-17,174.95668557583375,170.3508609720506,179.6374895831337,177.14999389648438,prophet
2023-10-18,175.09648154485492,170.93958107943243,179.45970274470082,175.83999633789062,prophet
2023-10-19,175.11531595120732,171.05837051857264,179.55876249691914,175.4600067138672,prophet
2023-10-20,175.53197701192056,170.8610859534926,179.6975188616815,172.8800048828125,prophet
2023-10-23,175.97169271835395,171.5314800829236,180.7205730411575,173.0,prophet
2023-10-24,176.36876909421093,171.56028195020835,180.43646280571977,173.44000244140625,prophet
2023-10-25,176.4759757635209,172.18958665933673,180.82049648203684,171.10000610351562,prophet
2023-10-26,176.47163761378073,171.80073687267523,180.7818481537921,166.88999938964844,prophet
2023-10-27,176.87865529468496,172.37957556353788,181.52849324290642,168.22000122070312,prophet
2023-10-30,177.39155038252198,172.8600056952969,181.57344108948897,170.2899932861328,prophet
2023-10-31,177.85396821872732,173.36821892531427,182.15474933744267,170.77000427246094,prophet
2023-11-01,178.04783696083558,173.5883843955348,182.40610650411108,173.97000122070312,prophet
2023-11-02,178.1517181097553,173.75497593511247,182.74914749489176,177.57000732421875,prophet
2023-11-03,178.6886532753975,174.3849120758481,183.1739131871107,176.64999389648438,prophet
2023-11-06,179.69977600122036,175.1062126805246,183.8704785582456,179.22999572753906,prophet
2023-11-07,180.35693112141684,175.92541157718136,184.89265972169937,181.82000732421875,prophet
2023-11-08,180.75381123886046,176.2847263554024,185.22461822167216,182.88999938964844,prophet
2023-11-09,182.411330641785,178.21044812229727,187.04610492256336,182.41000366210938,prophet
2023-11-13,183.41391465940373,179.123623187807,187.5705664214139,184.8000030517578,prophet
2023-11-14,184.2428807581195,179.82904181975385,188.83107220644604,187.44000244140625,prophet
2023-11-15,184.79198875512643,180.26822183561646,188.94650566989444,188.00999450683594,prophet
2023-11-16,185.2333085984923,180.55629359275144,189.46923734489255,189.7100067138672,prophet
2023-11-17,186.08472539352144,181.63491776961718,190.82563793511756,189.69000244140625,prophet
2023-11-20,187.82931417261662,183.04383353520444,192.22774397044225,191.4499969482422,prophet
2023-11-21,188.64535849646356,184.2985297369298,192.94809150131323,190.63999938964844,prophet
2023-11-22,191.46195151559286,186.98536350976136,195.9766119712175,191.30999755859375,prophet
2023-11-24,188.17822687534613,184.08168832264792,192.52509829262186,189.97000122070312,prophet
2023-11-27,191.55655611368485,187.3633853209607,195.83043811141155,189.7899932861328,prophet
2023-11-28,192.18138999801272,187.66467897563248,196.4156536237263,190.39999389648438,prophet
2023-11-29,192.48040107169652,187.63839317915588,196.80270379168107,189.3699951171875,prophet
2023-11-30,192.6306724171822,188.58817930452065,197.10259375167604,189.9499969482422,prophet
2023-12-01,193.15687053129608,188.33942306567596,197.8609420479473,191.24000549316406,prophet
2023-12-04,193.7676784746145,189.32748580519836,198.358579351065,189.42999267578125,prophet
2023-12-05,194.17489650710522,189.91186423776398,198.75661993398484,193.4199981689453,prophet
2023-12-06,194.26428061507582,189.69551924067696,198.63153841714794,192.32000732421875,prophet
2023-12-07,194.2151567116479,190.14270834686147,198.86364694734738,194.27000427246094,prophet
2023-12-08,194.5544732928023,190.01213078919014,199.00811641084104,195.7100067138672,prophet
2023-12-11,194.68053792715685,190.07499978245139,199.08796782999707,193.17999267578125,prophet
2023-12-12,194.951578394703,190.65535631505637,199.47535999090871,194.7100067138672,prophet
2023-12-13,194.91514654421678,190.14515079869335,199.07427699052397,197.9600067138672,prophet
2023-12-14,194.74918971005906,190.3549106621565,198.98282567412198,198.11000061035156,prophet
2023-12-15,194.97948849091395,190.41927388535655,199.3732710161094,197.57000732421875,prophet
2023-12-18,194.7966459646591,190.56209436052268,199.63371577623238,195.88999938964844,prophet
2023-12-19,194.96335739540348,190.17226344930262,199.34112138753272,196.94000244140625,prophet
2023-12-20,194.81727701986787,190.86291761049773,199.51409321940858,194.8300018310547,prophet
2023-12-21,194.53459147661655,189.70779656466718,198.90686824665076,194.67999267578125,prophet
2023-12-22,194.64024196710622,190.1814401944623,198.7987042656892,193.60000610351562,prophet
2023-12-26,193.05629690017625,188.57830966008524,197.57345708796555,193.0500030517578,prophet
2023-12-27,193.7008422708988,189.33150338279194,198.40209026024533,193.14999389648438,prophet
2023-12-28,193.23579535868737,189.01694260574453,197.56055985576037,193.5800018310547,prophet
2023-12-29,193.15520981320773,188.68693044297171,197.91365789031167,192.52999877929688,prophet
2024-01-02,191.8160595944921,187.13982165600297,196.17772218305097,,prophet
2024-01-03,191.34239166273147,187.01729939317784,195.69578130767846,,prophet
2024-01-04,190.7455028966007,186.33075069106516,194.82709091557373,,prophet
2024-01-05,190.5595083059317,185.84017641122028,194.89796447160168,,prophet
2024-01-08,189.27087049452385,184.80119275207463,193.80317234894895,,prophet
2024-01-09,189.14612517837526,184.91189606751496,193.60988487567943,,prophet
2024-01-10,188.75952758300429,184.29831693775253,193.2320610475933,,prophet
2024-01-11,188.29686807966326,183.26595922777682,192.77708151957728,,prophet
2024-01-12,188.29408116055242,183.523351417105,192.88221174550876,,prophet
2024-01-16,187.68174862649954,183.02276912446325,192.72033916774305,,prophet
2024-01-17,188.09225641228548,183.31462910494713,193.17302263190086,,prophet
2024-01-18,188.06187192923232,183.27511090517064,193.0600764034358,,prophet
2024-01-19,188.51669428128116,183.6807666876927,193.5893796109867,,prophet
2024-01-22,189.50139799467064,184.28372316508182,195.3268683914491,,prophet
2024-01-23,190.2161773795968,185.03711758772872,196.01356198395024,,prophet
2024-01-24,190.68636925207392,185.42682138024503,196.36248841906465,,prophet
2024-01-25,191.0831848861413,185.18863417357264,196.48134494423235,,prophet
2024-01-26,191.9282794391216,185.8329757245363,197.97200078975774,,prophet
2024-01-29,193.77013852955432,187.40580019209688,200.038623515483,,prophet
2024-01-30,194.64170207415745,188.1124304749156,201.35072363884896,,prophet
